item_id,ATFAA_SHIELD,CDAO_GenAI,Cisco_A2A,DIU_RAI,DoD_AI_Cyber,DoD_RAI,ENISA_ML,GAO_AI,Google_SecAI,MITRE_ATLAS,NIST_AI_RMF,NIST_GenAI,NSA_DataSec,NSA_Deploy,NSA_SecDev,OWASP_ASI
RATC_1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,2
RATC_2,2,1,1,1,1,2,1,2,1,1,2,2,1,1,1,3
RATC_3,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2
RATC_4,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2
RATC_6,2,1,3,1,2,2,2,1,2,3,2,2,2,2,2,3
RATC_8,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2
RATC_9,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,3
RATC_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RATC_11,3,1,2,1,2,1,2,1,2,2,2,1,1,2,2,3
RATC_12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
RATC_14,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2
RATC_15,3,2,1,1,1,1,2,1,2,2,2,2,1,1,2,3
RATC_16,3,3,1,1,1,1,2,2,2,3,3,2,2,2,2,3
RATC_17,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RATC_18,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RATC_19,2,1,1,2,1,1,2,1,1,1,2,2,2,1,2,1
RATC_21,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2
RATC_22,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2
RATC_27,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
RATC_29,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2
RATC_30,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2
RDL_1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,1,2
RDL_2,2,2,1,1,2,1,2,2,1,1,1,1,2,2,1,2
RDL_3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
RDL_4,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2
RDL_5,2,2,1,1,2,1,2,2,2,1,1,1,1,2,1,2
RDL_7,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2
RDL_9,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2
RDL_10,2,2,1,1,1,1,1,2,2,1,2,2,1,1,2,2
RDL_11,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
RDL_12,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2
RDL_13,2,2,1,1,2,1,2,2,1,1,2,2,1,1,1,1
RDL_14,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1
RDL_15,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1
RDL_16,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
RDL_17,2,3,2,1,1,1,2,1,2,3,2,2,2,2,2,2
RDL_18,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2
RDL_19,2,2,2,1,2,,2,2,1,1,,1,,1,,2
RDL_20,2,2,1,1,1,,1,1,2,1,,2,,1,,2
RDL_21,1,1,1,1,1,,2,2,1,1,,1,,1,,1
RDL_22,2,2,1,1,2,,2,2,1,2,,1,,2,,2
RDL_23,2,1,1,1,2,,2,1,1,1,,1,,2,,2
RDL_24,1,1,1,1,2,,2,2,1,1,,1,,1,,1
RDL_25,1,1,1,1,2,,2,1,1,1,,1,,1,,1
RDL_26,1,1,1,1,1,,1,1,1,1,,1,,2,,1
RDL_27,1,1,1,1,1,,2,1,1,1,,1,,1,,1
RDL_28,2,2,1,1,1,,1,2,2,1,,1,,1,,1
RDL_29,1,1,1,1,1,,1,1,1,1,,1,,1,,1
RDL_30,2,2,1,1,2,,1,2,1,1,,1,,1,,1
RDL_31,2,2,1,1,1,,2,2,2,2,,2,,1,,2
RDL_32,2,3,1,1,2,,2,2,2,2,,2,,2,,2
RDL_33,2,3,1,1,1,,2,2,2,2,,2,,2,,2
RDL_34,1,2,1,1,1,,1,2,2,1,,1,,1,,1
RDL_35,1,1,1,1,1,,2,1,1,2,,2,,1,,1
RDL_36,2,1,1,1,1,,1,2,2,1,,2,,1,,2
RIDC_1,1,2,1,1,1,1,1,1,2,2,2,2,,2,2,2
RIDC_2,2,2,2,1,1,1,2,1,1,2,2,2,,1,2,3
RIDC_3,2,2,1,1,1,1,1,1,1,2,2,1,,1,1,2
RIDC_4,2,3,2,1,1,2,2,1,2,3,2,2,,2,2,3
RIDC_5,2,2,1,1,1,1,1,1,2,2,2,2,,1,2,2
RIDC_6,1,2,2,1,1,1,1,1,1,2,2,2,,1,1,1
RIDC_7,1,2,1,1,1,1,2,1,1,2,1,2,,2,2,2
RIP_1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,3
RIP_2,2,2,2,2,1,2,1,2,2,1,2,1,2,1,1,3
RIP_3,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2
RIP_4,2,2,2,1,2,1,2,1,1,2,1,1,1,1,1,3
RIP_5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2
RIP_6,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3
RIP_7,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2
RIP_8,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2
RIP_9,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2
RIP_10,2,2,1,1,1,2,1,1,2,2,2,1,1,1,1,2
RIP_11,2,2,1,1,2,1,2,2,2,2,3,2,2,2,2,2
RIP_12,2,2,1,1,1,1,2,1,2,2,2,2,,1,2,2
RIP_13,1,1,2,1,2,2,2,1,1,2,1,1,,2,2,2
RIP_14,2,1,1,1,2,2,2,1,1,3,3,2,,2,2,2
RIP_15,2,1,2,1,2,1,2,1,1,2,1,1,,2,2,2
RIP_16,1,1,1,1,2,1,2,1,1,1,1,1,,1,2,1
RIP_17,2,1,2,1,2,1,2,1,2,2,2,1,,2,2,2
RIP_18,2,1,1,1,1,2,1,2,2,2,1,2,,1,1,2
RIP_19,1,1,1,1,1,1,1,1,1,1,1,2,,1,1,2
RMP_1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,3
RMP_2,2,2,1,1,1,1,2,2,2,3,2,2,2,1,2,2
RMP_3,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2
RMP_4,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,3
RMP_5,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2
RMP_6,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1
RMP_7,2,2,1,1,1,1,2,2,1,2,2,2,1,1,2,2
RMP_8,2,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2
RMP_9,1,3,1,2,2,2,3,2,1,3,3,2,3,2,3,2
RMP_10,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2
RMP_11,2,2,1,1,1,1,2,2,2,2,1,2,1,1,2,3
RMP_12,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,2
RMP_13,2,2,1,2,1,1,1,2,2,1,2,2,1,1,1,2
RMP_14,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2
RMP_15,2,3,1,1,2,1,2,2,2,2,3,2,2,2,2,2
RMP_16,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2
RND_1,1,2,2,1,1,1,1,1,2,1,1,,1,1,1,1
RND_2,1,2,1,1,1,1,1,1,1,1,1,,1,1,1,1
RND_3,2,2,1,1,1,1,2,1,2,1,1,,1,2,1,2
RND_4,2,2,1,1,1,1,1,1,2,1,1,,1,1,1,2
RND_5,2,2,1,1,2,1,2,1,1,1,1,,1,1,1,2
RND_6,2,2,1,1,2,1,2,1,2,1,1,,1,2,1,2
RND_7,2,2,1,1,2,1,2,2,2,2,2,,1,2,2,3
RND_8,2,2,1,1,1,1,1,2,2,1,2,,1,1,1,1
RND_9,1,2,1,1,1,1,1,1,1,1,1,,1,1,1,1
RND_10,1,2,1,1,1,1,1,1,1,1,1,,1,1,1,1
RND_11,1,2,1,1,1,1,1,1,1,1,1,,1,1,1,1
RND_12,1,2,1,1,1,1,1,1,1,1,1,,1,1,1,1
RND_13,2,1,1,1,1,1,2,1,1,1,1,,1,2,1,1
RND_14,1,2,1,2,2,1,2,2,2,1,2,,1,1,1,2
RND_15,2,2,1,1,1,1,1,1,2,1,1,,1,1,1,2
RND_16,2,2,1,1,1,1,1,1,2,1,1,,1,1,1,2
RND_17,2,2,1,1,2,1,2,2,2,3,2,,1,2,2,3
RND_18,1,1,1,1,2,1,2,1,1,1,1,,1,1,2,2
RND_19,1,1,1,1,2,1,2,1,1,1,1,,1,1,2,1
RND_20,1,1,1,1,2,1,2,1,1,1,1,,1,2,2,2
RND_21,1,1,1,1,1,1,1,2,1,1,2,,1,1,1,1
RND_22,2,2,1,1,1,1,1,1,1,1,1,,1,1,1,1
RND_23,1,2,1,1,1,1,1,1,2,1,1,,1,1,1,1
RND_24,2,2,1,1,1,1,1,1,2,1,1,,1,1,1,1
RND_25,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
RND_26,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
RND_27,2,2,1,1,1,1,1,1,2,1,1,,1,1,1,2
RND_28,2,2,1,1,1,1,2,1,2,1,1,,1,1,1,2
RND_29,2,2,1,1,1,1,1,1,2,1,1,,1,1,1,1
RND_30,2,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
RND_31,2,1,1,1,2,1,1,1,2,1,1,,1,1,1,1
RND_32,1,1,1,1,1,1,2,2,1,1,2,,1,1,2,1
RND_33,2,1,1,1,1,1,1,1,2,1,1,,1,1,1,1
RND_34,1,2,1,1,1,1,2,2,1,1,2,,1,1,1,1
RTE_1,2,1,2,1,1,1,2,1,2,3,2,,1,1,1,1
RTE_2,3,1,2,1,1,1,1,1,2,2,2,,1,1,1,3
RTE_3,2,2,1,1,1,1,1,1,1,2,1,,1,1,1,1
RTE_4,2,2,1,1,1,2,1,2,2,3,3,,1,2,2,3
RTE_5,1,1,1,1,1,1,1,1,2,2,2,,1,1,1,2
RTE_6,1,2,1,1,1,1,1,1,2,3,2,,1,2,2,2
RTE_7,2,1,1,1,1,1,1,1,1,2,2,,1,1,1,1
RTE_8,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,2
RTE_9,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,2
RTE_10,2,1,1,1,2,2,2,1,1,2,2,,1,1,1,2
RTE_11,1,1,1,1,1,1,1,1,1,2,2,,1,1,1,1
RTE_12,1,1,1,1,1,1,1,1,1,2,2,,1,1,1,1
RTE_13,2,2,1,1,1,2,2,2,1,2,2,,1,1,2,2
RTE_14,2,2,1,1,1,1,1,1,1,3,2,,1,2,1,2
RTE_15,2,2,1,1,1,1,1,1,1,2,2,,1,2,1,1
RTE_16,2,2,1,1,1,1,1,1,2,3,2,,1,1,1,1
RTE_17,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,1
RTE_18,2,1,1,1,1,1,1,1,1,2,1,,1,1,1,2
RTE_19,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,1
RTE_20,2,1,1,1,1,1,1,1,2,2,1,,1,1,1,2
RTE_21,2,2,1,1,1,1,2,2,2,3,2,,2,2,1,3
RTE_22,2,3,1,1,1,1,2,2,2,3,3,,2,2,2,3
RTE_23,2,2,1,1,1,1,1,1,2,2,2,,1,1,1,2
RTE_24,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,1
RTE_25,1,1,1,1,1,1,2,1,1,2,2,,1,1,1,1
RTE_26,2,1,1,1,1,1,1,1,1,2,1,,1,1,1,2
RTE_27,2,2,1,1,2,1,2,2,1,2,2,,1,2,2,3
RTE_28,3,2,2,1,3,1,3,2,1,1,2,,1,2,2,3
RTE_29,2,2,1,1,2,2,2,2,1,3,3,,1,2,2,3
RTE_30,2,1,1,1,2,1,2,2,1,1,1,,1,2,1,2
RTE_31,2,2,1,1,2,2,2,2,1,2,2,,1,2,1,3
RTE_32,2,1,1,1,2,1,2,2,1,1,1,,1,1,1,2
RTE_33,,,,1,,,,,,,,,,,,
RTE_Other,2,2,,,,,1,1,,,2,,,,,
RTM_1,1,2,1,1,1,2,2,2,2,1,2,,1,1,2,1
RTM_2,1,1,1,1,1,1,2,2,1,1,2,,1,1,2,1
RTM_3,2,2,1,1,2,1,2,2,2,2,2,,1,2,2,2
RTM_4,1,1,2,1,1,1,2,1,1,1,2,,1,1,1,1
RTM_5,1,2,1,2,1,1,2,2,1,2,2,,1,2,2,2
RTM_6,2,2,1,1,1,1,2,1,1,2,2,,1,1,2,2
RTM_7,2,2,1,1,2,1,2,1,1,1,1,,1,1,2,2
RTM_8,2,2,1,1,1,1,1,1,2,2,2,,1,1,2,1
RTM_9,2,2,1,1,1,1,2,2,2,2,2,,1,1,2,2
RTM_10,1,1,1,1,1,1,1,2,1,2,1,,1,1,1,1
RTM_11,1,2,1,1,1,1,2,2,2,2,2,,1,1,2,2
RTM_12,2,2,1,1,2,1,2,1,2,2,1,,1,2,2,2
RWA_1,1,2,1,2,1,2,1,2,1,2,2,1,1,1,2,2
RWA_2,1,2,2,2,2,2,2,2,1,3,3,2,2,2,2,1
RWA_3,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2
RWA_4,2,3,1,2,1,1,2,2,2,3,3,2,2,2,2,3
RWA_5,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2
RWA_6,2,2,2,1,2,2,2,2,2,3,2,2,1,2,2,3
RWA_7,1,2,1,2,1,1,1,2,1,2,2,1,1,2,2,2
RWA_8,1,2,1,1,1,1,2,2,1,2,2,2,2,1,1,2
RWA_9,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1
RWA_10,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2
RWA_11,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2
RWA_12,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,2
RWA_13,3,2,1,2,1,2,1,2,2,2,2,1,1,1,1,3
RWA_14,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2
RWA_15,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2
RWA_16,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1
